52,Sassuolo,31,11,7,13,38,46,-8,40,Armand Lauriente ,7,4
53,Mallorca,29,10,7,12,26,30,-4,37,Vedat Muriqi ,12,5
54,Girona,30,10,8,12,44,43,1,38,Cristhian Stuani Valentín Castellanos ,7,5
55,Monza,30,10,8,12,35,41,-6,38,Carlos ,5,4
56,Chelsea,31,10,9,12,30,33,-3,39,Kai Havertz ,7,1
57,Toulouse,31,11,5,15,47,54,-7,38,Thijs Dallinga ,12,2
58,Köln,29,8,11,10,40,47,-7,35,Florian Kainz Ellyes Skhiri ,6,3
59,Sevilla,29,9,8,12,35,44,-9,35,Youssef En-Nesyri ,7,5
60,Werder Bremen,29,10,5,14,47,56,-9,35,Niclas Füllkrug ,16,3
61,Celta Vigo,30,9,9,12,36,42,-6,36,Iago Aspas ,12,5
62,Montpellier,31,11,4,16,47,52,-5,37,Sepe Elye Wahi ,13,2
63,Valladolid,30,10,5,15,26,48,-22,35,Sergio León Cyle Larin ,5,5
64,Crystal Palace,32,9,10,13,31,40,-9,37,Eberechi Eze ,7,1
65,Getafe,29,7,10,12,27,36,-9,31,Enes Ünal ,13,5
66,Empoli,30,7,11,12,25,37,-12,32,Tommaso Baldanzi ,4,4
67,Cádiz,30,7,11,12,23,42,-19,32,Álex Fernández Lucas Pérez... ,3,5
68,Salernitana,31,7,12,12,37,50,-13,33,Boulaye Dia ,11,4
69,Wolves,32,9,7,16,27,44,-17,34,Daniel Podence ,6,1
70,Bournemouth,31,9,6,16,31,59,-28,33,Philip Billing ,7,1
71,West Ham,30,8,7,15,29,41,-12,31,Saïd Benrahma Jarrod Bowen ,5,1
72,Augsburg,29,8,6,15,38,54,-16,30,Mergim Berisha ,9,3
73,Auxerre,32,8,9,15,30,53,-23,33,M'Baye Niang Nuno da Costa ,5,2
74,Nantes,31,6,13,12,33,44,-11,31,Mostafa Mohamed ,8,2
75,Hoffenheim,29,8,5,16,39,50,-11,29,Andrej Kramari? ,9,3
76,Brest,31,7,10,14,35,48,-13,31,Jérémy Le Douaron ,8,2
77,Almería,30,8,6,16,36,52,-16,30,El Bilal Touré ,6,5
78,Strasbourg,31,6,11,14,41,53,-12,29,Habib Diallo ,15,2
79,Valencia,29,7,6,16,30,36,-6,27,Edinson Cavani Justin Kluivert ,5,5
80,Lecce,30,6,10,14,26,36,-10,28,Gabriel Strefezza ,7,4
81,Espanyol,30,6,10,14,35,49,-14,28,Joselu ,12,5
82,Bochum,29,8,3,18,32,66,-34,27,Philipp Hofmann ,8,3
83,Leeds United,32,7,8,17,41,62,-21,29,Rodrigo ,11,1
84,Leicester City,32,8,4,20,43,56,-13,28,Harvey Barnes ,10,1
85,Everton,32,6,10,16,24,46,-22,28,Demarai Gray Dwight McNeil ,4,1
86,Spezia,31,5,12,14,26,49,-23,27,M'Bala Nzola ,13,4
87,Stuttgart,29,5,10,14,36,51,-15,25,Sehrou Guirassy ,7,3
88,Schalke 04,28,5,9,14,26,52,-26,24,Marius Bülter ,9,3
89,Hellas Verona,31,6,8,17,26,44,-18,26,Simone Verdi ,4,4
90,Nott'ham Forest,32,6,9,17,26,59,-33,27,Brennan Johnson ,8,1
91,Hertha BSC,29,5,7,17,35,59,-24,22,Dodi Lukebakio ,11,3
92,Southampton,32,6,6,20,27,56,-29,24,James Ward-Prowse ,7,1
93,Troyes,31,4,9,18,39,67,-28,21,Mama Samba Baldé ,11,2
94,Ajaccio,31,6,3,22,22,58,-36,21,Youcef Belaïli Mounaim El Idrissy ,6,2
95,Cremonese,30,3,10,17,27,54,-27,19,Cyriel Dessers Daniel Ciofani ,6,4
96,Sampdoria,31,3,8,20,20,52,-32,17,Manolo Gabbiadini ,6,4
97,Elche,29,2,7,20,20,59,-39,13,Pere Milla ,6,5
98,Angers,32,3,5,24,25,68,-43,14,Adrien Hunou Sofiane Boufal,4,2
