109,Houssem Aouar,MF,Lyon,24,1998
110,Adil Aouchiche,MFFW,Lorient,20,2002
111,Dennis Appiah,DFMF,Nantes,30,1992
112,Mauro Arambarri,MF,Getafe,27,1995
113,Charles Aránguiz,MF,Leverkusen,33,1989
114,Ronald Araújo,DF,Barcelona,23,1999
115,Cameron Archer,FWMF,Aston Villa,21,2001
116,Taïryk Arconte,FWMF,Brest,19,2003
117,Alphonse Areola,GK,West Ham,29,1993
118,Joe Aribo,MFFW,Southampton,26,1996
119,Adam Armstrong,FW,Southampton,26,1997
120,Stuart Armstrong,MFFW,Southampton,30,1992
121,Marko Arnautovi?,FW,Bologna,33,1989
122,Maximilian Arnold,MF,Wolfsburg,28,1994
123,Kepa Arrizabalaga,GK,Chelsea,28,1994
124,Roberto Arroyo,MF,Valladolid,19,2003
125,Tolgay Arslan,MF,Udinese,32,1990
126,Arthur,FW,Fiorentina,24,1998
127,Santiago Arzamendia,MFDF,Cádiz,24,1998
128,Takuma Asano,FWMF,Bochum,28,1994
129,Santiago Ascacíbar,MF,Cremonese,25,1997
130,Sergio Asenjo,GK,Valladolid,33,1989
131,Marco Asensio,FWMF,Real Madrid,27,1996
132,Kristoffer Askildsen,MF,Lecce,22,2001
133,Fisnik Asllani,FWMF,Hoffenheim,20,2002
134,Kristjan Asllani,MF,Inter,20,2002
135,Iago Aspas,FW,Celta Vigo,35,1987
136,Lorenz Assignon,DF,Rennes,22,2000
137,Youcef Atal,DFMF,Nice,26,1996
138,Pierre-Emerick Aubameyang,FW,Chelsea,33,1989
139,Pierre-Emerick Aubameyang,FW,Barcelona,33,1989
140,Emil Audero,GK,Sampdoria,26,1997
141,Tommaso Augello,DF,Sampdoria,28,1994
142,Ludwig Augustinsson,DF,Aston Villa,28,1994
143,Ludwig Augustinsson,DF,Mallorca,28,1994
144,Serge Aurier,DF,Nott'ham Forest,30,1992
145,Mathias Autret,MFFW,Auxerre,31,1991
146,Ezequiel Ávila,FWMF,Osasuna,29,1994
147,Cédric Avinel,DF,Ajaccio,36,1986
148,Taiwo Awoniyi,FW,Nott'ham Forest,25,1997
149,Mehmet-Can Aydin,DF,Schalke 04,21,2002
150,André Ayew,FW,Nott'ham Forest,33,1989
151,Jordan Ayew,FWMF,Crystal Palace,31,1991
152,Kaan Ayhan,DF,Sassuolo,28,1994
153,Luke Ayling,DF,Leeds United,31,1991
154,Ayman Azhil,MF,Leverkusen,21,2001
155,Sardar Azmoun,MFFW,Leverkusen,28,1995
156,César Azpilicueta,DF,Chelsea,33,1989
157,Sanoussy Ba,DF,RB Leipzig,19,2004
158,Iddrisu Baba,MF,Mallorca,27,1996
159,Sr?an Babi?,DF,Almería,26,1996
160,Loïc Bade,DF,Sevilla,22,2000
161,Loïc Bade,DF,Rennes,22,2000
162,Édgar Badía,GK,Elche,31,1992
163,Benoît Badiashile,DF,Chelsea,21,2001
164,Benoît Badiashile,DF,Monaco,21,2001
165,Alex Baena,MFFW,Villarreal,21,2001
166,Jaime Báez,DF,Cremonese,27,1995
167,Leon Bailey,FWMF,Aston Villa,25,1997
168,Eric Bailly,DF,Marseille,28,1994
169,Dénys Bain,DF,Auxerre,29,1993
170,Brandon Baiye,MF,Clermont Foot,22,2000
171,Stefan Bajcetic,MF,Liverpool,18,2004
172,Nedim Bajrami,MFFW,Empoli,23,1999
173,Nedim Bajrami,MF,Sassuolo,23,1999
174,Cédric Bakambu,MF,Marseille,31,1991
175,Mitchel Bakker,MFDF,Leverkusen,22,2000
176,Ridle Baku,DF,Wolfsburg,24,1998
177,Tommaso Baldanzi,MF,Empoli,19,2003
178,Alejandro Balde,DF,Barcelona,19,2003
179,Thierno Balde,DF,Troyes,20,2002
180,Carlos Baleba,MF,Lille,19,2004
181,Mikel Balenziaga,DF,Athletic Club,34,1988
182,Leonardo Balerdi,DF,Marseille,24,1999
183,Iván Balliu,DF,Rayo Vallecano,31,1992
184,Fodé Ballo-Touré,DF,Milan,26,1997
185,Folarin Balogun,FW,Reims,21,2001
186,Abdoulaye Bamba,DF,Angers,32,1990
187,Jonathan Bamba,FW,Lille,26,1996
188,Patrick Bamford,FW,Leeds United,29,1993
189,Lameck Banda,FWMF,Lecce,22,2001
190,Filippo Bandinelli,MF,Empoli,27,1995
191,Léo Baptistão,FWMF,Almería,30,1992
192,Shandon Baptiste,MF,Brentford,24,1998
193,Antonín Barák,MF,Hellas Verona,28,1994
194,Antonín Barák,MF,Fiorentina,28,1994
195,Andrea Barberis,MF,Monza,29,1993
196,Bradley Barcola,FWMF,Lyon,20,2002
197,Melvin Bard,DF,Nice,22,2000
198,Keidi Bare,MF,Espanyol,25,1997
199,Nicolò Barella,MF,Inter,26,1997
200,Kike Barja,FWMF,Osasuna,25,1997
201,Ross Barkley,FWMF,Nice,29,1993
202,Aymen Barkok,MF,Mainz 05,24,1998
203,Harvey Barnes,MFFW,Leicester City,25,1997
204,Leandro Barreiro Martins,MF,Mainz 05,23,2000
205,Ander Barrenetxea,FWDF,Real Sociedad,21,2001
206,Mickaël Barreto,MF,Ajaccio,32,1991
207,Pablo Barrios,MF,Atlético Madrid,19,2003
208,Musa Barrow,FWMF,Bologna,24,1998
209,Federico Baschirotto,DF,Lecce,26,1996
210,Toma Baši?,MF,Lazio,26,1996
211,Gil Bastião Dias,FW,Stuttgart,26,1996
212,Alessandro Bastoni,DF,Inter,23,1999
213,Simone Bastoni,MFDF,Spezia,26,1996
214,Rodrigo Battaglia,MF,Mallorca,31,1991
215,Maximilian Bauer,DF,Augsburg,23,2000
216,Oliver Baumann,GK,Hoffenheim,32,1990
217,Timo Baumgartl,DF,Union Berlin,26,1996
218,Julian Baumgartlinger,MF,Augsburg,35,1988
219,Christoph Baumgartner,MFFW,Hoffenheim,23,1999
220,Cyrille Bayala,MF,Ajaccio,26,1996
221,Brian Bayeye,DF,Torino,22,2000
222,Noah Joel Sarenren Bazee,FW,Augsburg,26,1996
